fluorophore,site,when,sample.type,substrate,treatment,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se,fluorimeter
AMC,FP2016,PEEC2016,filter,GGR-AMC,live,1,109846.3165,197126.089,4731.025622,4724.318581,0.00017502,0.994465852,5,136.7559867,803.2285765,34.59465093,UT
AMC,FP2016,PEEC2016,filter,Leu-AMC,live,1,18553.38141,151409.3362,9305.892393,9160.778116,0.140176391,0.569888499,5,136.7559867,135.6677822,68.04742242,UT
AMC,FP2016,PEEC2016,filter,GGR-AMC,live,3,112279.06,205703.1401,4724.827139,4690.182638,0.000163294,0.994715614,5,136.7559867,821.0175125,34.54932581,UT
AMC,FP2016,PEEC2016,filter,GGR-AMC,killed,k,5409.957764,172812.7167,4597.236149,4605.656704,0.324151561,0.315821798,5,136.7559867,39.55920246,33.61634296,UT
AMC,FP2016,PEEC2016,filter,Pyr-AMC,live,1,1417.857611,166874.5618,1874.4002,1845.171168,0.504370337,0.160179152,5,136.7559867,10.3677919,13.7061656,UT
AMC,FP2016,PEEC2016,whole,Gly-AMC,killed,k,-77793.98882,504842.7527,47608.62879,33819.87878,0.349621553,0.72752476,3,292.4843521,-265.9765839,162.7732507,UT
AMC,FP2016,PEEC2016,whole,Arg-AMC,live,1,39173.77369,295532.5876,12776.76952,12248.10697,0.091942542,0.824568347,4,292.4843521,133.9345965,43.68360025,UT
AMC,FP2016,PEEC2016,whole,Arg-AMC,live,2,1882503.115,-251820.8863,1571400.661,1467225.099,0.353637924,0.417783933,4,292.4843521,6436.252404,5372.597369,UT
AMC,FP2016,PEEC2016,whole,Leu-AMC,killed,k,32196.84226,330852.0897,72951.13494,69900.40218,0.68883349,0.060970589,5,292.4843521,110.0805634,249.4189327,UT
AMC,FP2016,PEEC2016,whole,Arg-AMC,killed,k,-41946.17144,293601.9625,15824.55177,14477.03862,0.117716976,0.778423335,4,292.4843521,-143.4133865,54.10392609,UT
AMC,FP2016,PEEC2016,whole,Gly-AMC,live,1,20024.78416,477116.3228,25289.70099,22983.07625,0.511464183,0.238667244,4,292.4843521,68.46446319,86.46514182,UT
AMC,FP2016,PEEC2016,whole,Gly-AMC,live,2,44972.17515,461745.3818,13863.27039,12407.21824,0.083321725,0.840299059,4,292.4843521,153.7592518,47.39833188,UT
AMC,FP2016,PEEC2016,whole,Gly-AMC,live,3,47190.2352,483804.6915,11290.41726,10047.92515,0.052753445,0.897276037,4,292.4843521,161.3427688,38.60178222,UT
AMC,FP2016,PEEC2016,whole,Pyr-AMC,live,1,-23888.69432,486423.2359,89925.43337,78788.17185,0.815385877,0.034082374,4,292.4843521,-81.67511918,307.4538269,UT
AMC,FP2016,PEEC2016,whole,Pyr-AMC,live,2,-54112.22503,437369.9654,203422.7294,175973.3989,0.815145102,0.034171333,4,292.4843521,-185.0089574,695.4995298,UT
AMC,FP2016,PEEC2016,whole,Pyr-AMC,live,3,-96830.13744,539448.7365,166521.9613,142587.3836,0.619718576,0.144613962,4,292.4843521,-331.0609157,569.3363084,UT
AMC,FP2016,PEEC2016,whole,Pyr-AMC,killed,k,-53606.69254,444132.1497,46361.40216,40105.51594,0.367026322,0.400655677,4,292.4843521,-183.2805487,158.509,UT
AMC,FP2016,PEEC2016,whole,Arg-AMC,live,3,58325.95572,280818.7014,7138.153685,6585.889756,0.014649485,0.970915637,4,292.4843521,199.415645,24.40524983,UT
AMC,FP2016,PEEC2016,whole,Leu-AMC,live,1,194431.0203,377638.2035,20307.84835,17894.64097,0.010733962,0.978647295,4,292.4843521,664.7569994,69.43225577,UT
AMC,FP2016,PEEC2016,whole,Leu-AMC,live,2,267440.2729,278719.9471,86181.15664,75507.62366,0.090037453,0.828031836,4,292.4843521,914.3746358,294.652196,UT
AMC,FP2016,PEEC2016,whole,Leu-AMC,live,3,200857.0219,348231.8049,25823.2146,22754.60925,0.01613016,0.967999861,4,292.4843521,686.7274109,88.28921757,UT
AMC,FP2016,PEEC2016,whole,GGR-AMC,live,1,294900.0922,435597.83,26774.4791,22792.18761,0.008142588,0.983781125,4,292.4843521,1008.259382,91.5415779,UT
AMC,FP2016,PEEC2016,whole,GGR-AMC,live,2,247808.8857,511680.117,7135.542906,5995.141905,0.000828096,0.998344494,4,292.4843521,847.2551913,24.39632361,UT
AMC,FP2016,PEEC2016,whole,GGR-AMC,live,3,301126.3257,530220.969,10748.51984,9149.84302,0.00127166,0.997458298,4,292.4843521,1029.546789,36.74904234,UT
AMC,FP2016,PEEC2016,whole,GGR-AMC,killed,k,-62948.90129,469277.4638,47779.50147,40143.39137,0.31835812,0.464635652,4,292.4843521,-215.2214327,163.3574621,UT
AMC,PP2016,PEEC2016,filter,Arg-AMC,live,1,37950.80455,109213.64,NA,NA,NA,1,2,109.3828067,346.9540205,NA,UT
AMC,PP2016,PEEC2016,filter,Arg-AMC,live,2,38881.4093,105369.89,NA,NA,NA,1,2,109.3828067,355.4617996,NA,UT
